Construct,Plant,ULCount,URCount,URPercent,FileName,Construct_1,Plant_1,SampleName
C4,P3,3960,5417,51.66,report15-05-GZ32.csv,C4,P3,C4P3
C4,P3,1416,4418,67.45,report15-05-GZ32.csv,C4,P3,C4P3
C4,P3,2377,5594,66.98,report15-05-GZ32.csv,C4,P3,C4P3
C3,P1,2743,8003,71.65,report15-05-GZ32.csv,C3,P1,C3P1-A
C3,P1,620,9838,92.53,report15-05-GZ32.csv,C3,P1,C3P1
C3,P3,2050,9407,80.18,report15-05-GZ32.csv,C3,P3,C3P3-A
C3,P3,992,10337,89.85,report15-05-GZ32.csv,C3,P3,C3P3
C6,P2,790,9738,90.03,report15-05-GZ32.csv,C6,P2,C6P2
C6,P2,2075,8911,79.3,report15-05-GZ32.csv,C6,P2,C6P2-A
C12,P7,2157,7982,76.11,report15-05-GZ32.csv,C12,P7,C12P7
C12,P7,6694,3621,34.23,report15-05-GZ32.csv,C12,P7,C12P7
C12,P7,2871,6892,68.05,report15-05-GZ32.csv,C12,P7,C12P7
C12,P5,4601,6614,56.82,report15-05-GZ32.csv,C12,P5,C12P5
C12,P5,3656,7546,64.77,report15-05-GZ32.csv,C12,P5,C12P5
C12,P5,5516,5272,47.05,report15-05-GZ32.csv,C12,P5,C12P5
C12,P6,5336,5326,48.78,report15-05-GZ32.csv,C12,P6,C12P6
C12,P6,6919,4497,38.7,report15-05-GZ32.csv,C12,P6,C12P6
C12,P6,1856,3453,60.66,report15-05-GZ32.csv,C12,P6,C12P6
C12,P1,3216,7117,65.71,report15-05-GZ32.csv,C12,P1,C12P1
C12,P1,683,10262,91.68,report15-05-GZ32.csv,C12,P1,C12P1
C15,P1,1598,9726,82.1,report15-05-GZ32.csv,C15,P1,C15P1-A
C15,P1,3870,7498,63.83,report15-05-GZ32.csv,C15,P1,C15P1-A
C14,P3,5892,5710,47.78,report15-05-GZ32.csv,C14,P3,C14P3
C14,P3,3599,6945,63.47,report15-05-GZ32.csv,C14,P3,C14P3
C14,P3,6417,4165,37.4,report15-05-GZ32.csv,C14,P3,C14P3
C14,P2,3107,7482,67.69,report15-05-GZ32.csv,C14,P2,C14P2
C14,P2,3642,7061,61.87,report15-05-GZ32.csv,C14,P2,C14P2
C16,P1,6371,5003,42.09,report15-05-GZ32.csv,C16,P1,C16P1
C16,P1,902,11460,91.19,report15-05-GZ32.csv,C16,P1,C16P1
C16,P1,603,11139,93.46,report15-05-GZ32.csv,C16,P1,C16P1
C2,P13,5212,1031,9.41,report15-05-GZ32.csv,C2,P13,C2P13
C2,P13,4517,4158,44.8,report15-05-GZ32.csv,C2,P13,C2P13
C2,P13,5124,1088,13.44,report15-05-GZ32.csv,C2,P13,C2P13
C6,P6,635,10563,90.34,report15-05-GZ32.csv,C6,P6,C6P6
C22,P1,5270,5361,47.81,report15-05-GZ32.csv,C22,P1,C22P1
C22,P1,5228,4980,45.78,report15-05-GZ32.csv,C22,P1,C22P1
C22,P1,4318,5771,54.42,report15-05-GZ32.csv,C22,P1,C22P1
C2,P11,4132,879,14.66,report16-05-GZ32.csv,C2,P11,C2P11
C2,P11,6824,2991,26.95,report16-05-GZ32.csv,C2,P11,C2P11
C2,P11,6046,675,6.65,report16-05-GZ32.csv,C2,P11,C2P11
C42,P1,753,11261,91.61,report16-05-GZ32.csv,C42,P1,C42P1
C42,P1,3329,9091,71.79,report16-05-GZ32.csv,C42,P1,C42P1
C42,P1,2268,8801,76.38,report16-05-GZ32.csv,C42,P1,C42P1
C12,P1,957,10118,89.44,report16-05-GZ32.csv,C12,P1,C12P1
C6,P2,1054,9442,88.09,report16-05-GZ32.csv,C6,P2,C6P2
C4,P2,3655,6570,61.59,report16-05-GZ32.csv,C4,P2,C4P2
C6,P3,3975,6385,59.62,report16-05-GZ32.csv,C6,P3,C6P3
C6,P3,3527,7129,64.39,report16-05-GZ32.csv,C6,P3,C6P3
C6,P3,4820,5948,53.62,report16-05-GZ32.csv,C6,P3,C6P3
C12,P3,2084,8136,76.83,report16-05-GZ32.csv,C12,P3,C12P3
C6,P1,875,9425,89.74,report16-05-GZ32.csv,C6,P1,C6P1
C13,P2,2810,6664,61.55,report19-05-GZ32.csv,C13,P2,C13P2
C12,P2,6906,3624,31.28,report19-05-GZ32.csv,C12,P2,C12P2
C4,P6,3146,7106,65.31,report19-05-GZ32.csv,C4,P6,C4P6
C4,P6,2796,8549,73.57,report19-05-GZ32.csv,C4,P6,C4P6
C15,P1,1797,9388,81.96,report19-05-GZ32.csv,C15,P1,C15P1
C14,P1,616,11784,93.86,report19-05-GZ32.csv,C14,P1,C14P1
C14,P1,860,11306,91.83,report19-05-GZ32.csv,C14,P1,C14P1
C14,P1,477,9224,93.44,report19-05-GZ32.csv,C14,P1,C14P1
C14,P2,4376,7502,61.59,report19-05-GZ32.csv,C14,P2,C14P2
C17,P1,4110,5827,55.66,report21-05-GZ32.csv,C17,P1,C17P1
C17,P1,4664,5836,52,report21-05-GZ32.csv,C17,P1,C17P1
C17,P1,5267,4986,47.02,report21-05-GZ32.csv,C17,P1,C17P1
C6,P2,1355,8762,83.98,report23-05-GZ32.csv,C6,P2,C6P2
C13,P2,4592,4950,46.7,report23-05-GZ32.csv,C13,P2,C13P2
C6,P1,637,10205,92.37,report26-05-GZ32.csv,C6,P1,C6P1
C6,P1,777,9981,90.8,report26-05-GZ32.csv,C6,P1,C6P1
C14,P4,529,5763,89.17,report26-05-GZ32.csv,C14,P4,C14P4
C2,P9,5432,702,6.29,report27-03GZ32.csv,C2,P9,G32C2P9
C2,P9,4215,201,2.63,report27-03GZ32.csv,C2,P9,G32C2P9
C2,P9,1709,39,1.25,report27-03GZ32.csv,C2,P9,G32C2P9
C2,P6,6907,868,8.08,report27-03GZ32.csv,C2,P6,G32C2P6
C2,P7,3092,291,3.98,report27-03GZ32.csv,C2,P7,G32C2P7
C2,P7,7228,2221,20.37,report27-03GZ32.csv,C2,P7,G32C2P7
C2,P7,5873,1269,11.45,report27-03GZ32.csv,C2,P7,G32C2P7
C2,P5,2322,108,2.7,report27-03GZ32.csv,C2,P5,G32C2P5
C2,P5,6197,183,1.77,report27-03GZ32.csv,C2,P5,G32C2P5
C2,P5,3385,171,2.74,report27-03GZ32.csv,C2,P5,G32C2P5
C3,P4,9030,2385,20.55,report27-03GZ32.csv,C3,P4,G32C3P4
C3,P4,5962,4761,43.77,report27-03GZ32.csv,C3,P4,G32C3P4
C3,P4,5322,5926,51.95,report27-03GZ32.csv,C3,P4,G32C3P4
C3,P5,572,4106,86.24,report27-03GZ32.csv,C3,P5,G32C3P5
C3,P5,181,1397,85.18,report27-03GZ32.csv,C3,P5,G32C3P5
C3,P5,672,10598,93.04,report27-03GZ32.csv,C3,P5,G32C3P5
C3,P3,1024,9552,89.08,report27-03GZ32.csv,C3,P3,G32C3P3 A
C4,P5,3971,1794,29.78,report27-03GZ32.csv,C4,P5,G32C4P5
C4,P5,4766,5017,47.83,report27-03GZ32.csv,C4,P5,G32C4P5
C4,P5,2683,7875,72.08,report27-03GZ32.csv,C4,P5,G32C4P5
C4,P4,1455,1290,44.15,report27-03GZ32.csv,C4,P4,G32C4P4
C4,P4,2531,1913,40.07,report27-03GZ32.csv,C4,P4,G32C4P4
C15,P2,292,3934,90.4,report27-03GZ32.csv,C15,P2,G32C15P2
C15,P2,1062,10261,89.33,report27-03GZ32.csv,C15,P2,G32C15P2
C14,P4,638,9760,92.33,report27-03GZ32.csv,C14,P4,G32C14P4
C14,P4,459,9265,93.34,report27-03GZ32.csv,C14,P4,G32C14P4
C14,P4,647,9832,91.78,report27-03GZ32.csv,C14,P4,G32C14P4
C2,P6,3787,542,6.46,report28-03GZ32.csv,C2,P6,C2P6
C2,P6,5169,661,6.19,report28-03GZ32.csv,C2,P6,C2P6
C6,P6,554,11419,93.41,report28-03GZ32.csv,C6,P6,C6P6
C6,P6,381,6721,92.06,report28-03GZ32.csv,C6,P6,C6P6
C12,P3,3796,2307,35.86,report28-03GZ32.csv,C12,P3,C12P3
C15,P2,3948,6720,61.28,report28-03GZ32.csv,C15,P2,C15P2 A
C12,P4,4677,5534,52.32,report28-03GZ32.csv,C12,P4,C12P4
C12,P4,3226,2937,46.46,report28-03GZ32.csv,C12,P4,C12P4
C13,P2,3388,6125,62.52,report28-03GZ32.csv,C13,P2,C13P2
C31,P1,2051,3403,59.87,report28-03GZ32.csv,C31,P1,C31P1
C31,P1,3054,7472,69.61,report28-03GZ32.csv,C31,P1,C31P1
C31,P1,2988,7139,69.19,report28-03GZ32.csv,C31,P1,C31P1
C25,P1,6321,4028,37.8,report28-03GZ32.csv,C25,P1,C25P1
C25,P1,1561,1638,48.69,report28-03GZ32.csv,C25,P1,C25P1
C25,P1,4277,6852,60.63,report28-03GZ32.csv,C25,P1,C25P1
C17,P2,7129,2509,23.37,report28-05-GIZ32.csv,C17,P2,C17P2
